Time,CH1,CH2,CH3,CH4,Wavelength,delta_lambda_pm
273.797077,1,0,0,0,1524.3293,-280.6799999998475
273.997075,1,0,0,0,1524.331,-278.98000000004686
274.197073,1,0,0,0,1524.32911,-280.8700000000499
274.397071,1,0,0,0,1524.3293,-280.6799999998475
274.597069,1,0,0,0,1524.3327,-277.28000000001884
274.797067,1,0,0,0,1524.3293,-280.6799999998475
274.997065,1,0,0,0,1524.33081,-279.1700000000219
275.197062,1,0,0,0,1524.32722,-282.76000000005297
275.39706,1,0,0,0,1524.3293,-280.6799999998475
275.597058,1,0,0,0,1524.3293,-280.6799999998475
275.797056,1,0,0,0,1524.32911,-280.8700000000499
275.997054,1,0,0,0,1524.32911,-280.8700000000499
276.197052,1,0,0,0,1524.331,-278.98000000004686
276.39705,1,0,0,0,1524.3293,-280.6799999998475
276.597048,1,0,0,0,1524.3293,-280.6799999998475
276.797045,1,0,0,0,1524.3293,-280.6799999998475
276.997043,1,0,0,0,1524.3293,-280.6799999998475
277.197041,1,0,0,0,1524.3293,-280.6799999998475
277.397039,1,0,0,0,1524.331,-278.98000000004686
277.597037,1,0,0,0,1524.331,-278.98000000004686
277.797035,1,0,0,0,1524.331,-278.98000000004686
277.997033,1,0,0,0,1524.331,-278.98000000004686
278.197031,1,0,0,0,1524.32911,-280.8700000000499
278.397028,1,0,0,0,1524.3293,-280.6799999998475
278.597026,1,0,0,0,1524.3327,-277.28000000001884
278.797024,1,0,0,0,1524.3293,-280.6799999998475
278.997022,1,0,0,0,1524.32892,-281.06000000002496
279.19702,1,0,0,0,1524.331,-278.98000000004686
279.397018,1,0,0,0,1524.3293,-280.6799999998475
279.597016,1,0,0,0,1524.331,-278.98000000004686
279.797014,1,0,0,0,1524.331,-278.98000000004686
279.997011,1,0,0,0,1524.32911,-280.8700000000499
280.197009,1,0,0,0,1524.331,-278.98000000004686
280.397007,1,0,0,0,1524.331,-278.98000000004686
280.597005,1,0,0,0,1524.33081,-279.1700000000219
280.797003,1,0,0,0,1524.33289,-277.0900000000438
280.997001,1,0,0,0,1524.33101,-278.96999999984473
281.196999,1,0,0,0,1524.33082,-279.16000000004715
281.396997,1,0,0,0,1524.33101,-278.96999999984473
281.596994,1,0,0,0,1524.33271,-277.2700000000441
281.796993,1,0,0,0,1524.32911,-280.8700000000499
281.99699,1,0,0,0,1524.3293,-280.6799999998475
282.196988,1,0,0,0,1524.331,-278.98000000004686
282.396986,1,0,0,0,1524.331,-278.98000000004686
282.596984,1,0,0,0,1524.33081,-279.1700000000219
282.796982,1,0,0,0,1524.33119,-278.78999999984444
282.996979,1,0,0,0,1524.32911,-280.8700000000499
283.196977,1,0,0,0,1524.331,-278.98000000004686
283.396975,1,0,0,0,1524.33119,-278.78999999984444
283.596973,1,0,0,0,1524.33119,-278.78999999984444
283.796971,1,0,0,0,1524.3293,-280.6799999998475
283.996969,1,0,0,0,1524.3293,-280.6799999998475
284.196967,1,0,0,0,1524.33289,-277.0900000000438
284.396965,1,0,0,0,1524.33101,-278.96999999984473
284.596963,1,0,0,0,1524.33101,-278.96999999984473
284.79696,1,0,0,0,1524.33101,-278.96999999984473
284.996958,1,0,0,0,1524.3293,-280.6799999998475
285.196956,1,0,0,0,1524.33101,-278.96999999984473
285.396954,1,0,0,0,1524.33101,-278.96999999984473
285.596952,1,0,0,0,1524.32911,-280.8700000000499
285.79695,1,0,0,0,1524.3293,-280.6799999998475
285.996948,1,0,0,0,1524.32911,-280.8700000000499
